STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TOBS
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,9/15/10,0,77
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,9/16/10,0,79
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,9/17/10,0,78
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,9/19/10,0,78
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,9/20/10,0,78
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,9/21/10,0,79
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,9/22/10,0.04,76
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,9/23/10,0,78
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,9/24/10,0,78
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,9/25/10,0,79
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,9/26/10,0,74
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,9/27/10,0,75
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,9/28/10,0,75
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,9/29/10,0,78
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,9/30/10,0.57,73
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,10/1/10,0.31,78
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,10/2/10,0.03,78
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,10/3/10,0,78
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,10/4/10,0.06,78
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,10/5/10,0,80
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,10/6/10,0,79
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,10/7/10,0,79
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,10/8/10,0,78
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,10/9/10,0,78
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,10/10/10,0,78
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,10/11/10,0,77
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,10/12/10,0,79
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,10/13/10,0,78
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,10/15/10,0,78
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,10/16/10,0,77
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,10/17/10,0,76
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,10/18/10,0,76
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,10/19/10,0.07,72
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,10/20/10,0,74
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,10/21/10,0,80
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,10/22/10,0,77
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,10/23/10,0,75
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,10/24/10,0,78
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,10/25/10,0,78
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,10/26/10,0.07,76
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,10/27/10,0.05,79
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,10/28/10,0.06,78
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,10/29/10,0.03,78
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,10/30/10,0.02,77
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,10/31/10,0,76
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,11/1/10,0.01,75
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,11/2/10,0.01,73
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,11/4/10,,73
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,11/5/10,0,77
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,11/6/10,0,76
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,11/7/10,0,77
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,11/8/10,0,76
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,11/9/10,0,73
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,11/10/10,0.23,73
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,11/11/10,0,77
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,11/12/10,0,77
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,11/13/10,0,76
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,11/16/10,0,73
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,11/17/10,0,73
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,11/19/10,,72
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,11/20/10,0.03,69
